计算点与点的相似度
( 0 , 0 )0
( 6 , 33 )206
( 6 , 34 )129
( 6 , 35 )184
( 6 , 36 )183
( 6 , 37 )121
( 6 , 38 )127
( 6 , 39 )119
( 6 , 40 )58
( 6 , 41 )132
( 6 , 42 )204
( 6 , 43 )196
( 6 , 44 )280
( 6 , 45 )193
( 6 , 46 )199
( 6 , 47 )206
( 7 , 0 )246
( 7 , 1 )326
( 7 , 2 )277
( 7 , 3 )214
( 7 , 4 )210
( 7 , 5 )126
( 7 , 6 )6
( 7 , 7 )0
( 7 , 8 )26
( 7 , 9 )43
( 7 , 10 )30
( 7 , 11 )41
( 7 , 12 )60
( 7 , 13 )72
( 7 , 14 )51
( 7 , 15 )205
( 7 , 16 )208
( 7 , 17 )132
( 7 , 18 )150
( 7 , 19 )144
( 7 , 20 )115
( 7 , 21 )182
( 7 , 22 )183
( 7 , 23 )115
( 7 , 24 )121
( 7 , 25 )119
( 7 , 26 )58
( 7 , 27 )132
( 7 , 28 )200
( 7 , 29 )192
( 7 , 30 )282
( 7 , 31 )195
( 7 , 32 )199
( 7 , 33 )206
( 7 , 34 )129
( 7 , 35 )182
( 7 , 36 )183
( 7 , 37 )115
( 7 , 38 )121
( 7 , 39 )119
( 7 , 40 )58
( 7 , 41 )132
( 7 , 42 )200
( 7 , 43 )192
( 7 , 44 )282
( 7 , 45 )195
( 7 , 46 )199
( 7 , 47 )206
( 8 , 0 )254
( 8 , 1 )326
( 8 , 2 )285
( 8 , 3 )226
( 8 , 4 )226
( 8 , 5 )146
( 8 , 6 )32
( 8 , 7 )26
( 8 , 8 )0
( 8 , 9 )33
( 8 , 10 )40
( 8 , 11 )47
( 8 , 12 )46
( 8 , 13 )56
( 8 , 14 )41
( 8 , 15 )185
( 8 , 16 )192
( 8 , 17 )124
( 8 , 18 )130
( 8 , 19 )132
( 8 , 20 )121
( 8 , 21 )200
( 8 , 22 )193
( 8 , 23 )103
( 8 , 24 )111
( 8 , 25 )111
( 8 , 26 )38
( 8 , 27 )116
( 8 , 28 )184
( 8 , 29 )190
( 8 , 30 )284
( 8 , 31 )189
( 8 , 32 )197
( 8 , 33 )206
( 8 , 34 )131
( 8 , 35 )200
( 8 , 36 )193
( 8 , 37 )103
( 8 , 38 )111
( 8 , 39 )111
( 8 , 40 )38
( 8 , 41 )116
( 8 , 42 )184
( 8 , 43 )190
( 8 , 44 )284
( 8 , 45 )189
( 8 , 46 )197
( 8 , 47 )206
( 9 , 0 )269
( 9 , 1 )339
( 9 , 2 )290
( 9 , 3 )213
( 9 , 4 )213
( 9 , 5 )133
( 9 , 6 )47
( 9 , 7 )43
( 9 , 8 )33
( 9 , 9 )0
( 9 , 10 )23
( 9 , 11 )30
( 9 , 12 )61
( 9 , 13 )69
( 9 , 14 )54
( 9 , 15 )184
( 9 , 16 )181
( 9 , 17 )131
( 9 , 18 )153
( 9 , 19 )127
( 9 , 20 )118
( 9 , 21 )205
( 9 , 22 )198
( 9 , 23 )118
( 9 , 24 )124
( 9 , 25 )122
( 9 , 26 )49
( 9 , 27 )129
( 9 , 28 )193
( 9 , 29 )193
( 9 , 30 )287
( 9 , 31 )194
( 9 , 32 )210
( 9 , 33 )217
( 9 , 34 )146
( 9 , 35 )205
( 9 , 36 )198
( 9 , 37 )118
( 9 , 38 )124
( 9 , 39 )122
( 9 , 40 )49
( 9 , 41 )129
( 9 , 42 )193
( 9 , 43 )193
( 9 , 44 )287
( 9 , 45 )194
( 9 , 46 )210
( 9 , 47 )217
( 10 , 0 )264
( 10 , 1 )322
( 10 , 2 )283
( 10 , 3 )212
( 10 , 4 )208
( 10 , 5 )120
( 10 , 6 )30
( 10 , 7 )30
( 10 , 8 )40
( 10 , 9 )23
( 10 , 10 )0
( 10 , 11 )29
( 10 , 12 )54
( 10 , 13 )66
( 10 , 14 )45
( 10 , 15 )185
( 10 , 16 )190
( 10 , 17 )118
( 10 , 18 )148
( 10 , 19 )122
( 10 , 20 )103
( 10 , 21 )196
( 10 , 22 )177
( 10 , 23 )121
( 10 , 24 )125
( 10 , 25 )121
( 10 , 26 )58
( 10 , 27 )134
( 10 , 28 )208
( 10 , 29 )202
( 10 , 30 )280
( 10 , 31 )195
( 10 , 32 )195
( 10 , 33 )200
( 10 , 34 )127
( 10 , 35 )196
( 10 , 36 )177
( 10 , 37 )121
( 10 , 38 )125
( 10 , 39 )121
( 10 , 40 )58
( 10 , 41 )134
( 10 , 42 )208
( 10 , 43 )202
( 10 , 44 )280
( 10 , 45 )195
( 10 , 46 )195
( 10 , 47 )200
( 11 , 0 )269
( 11 , 1 )333
( 11 , 2 )282
( 11 , 3 )199
( 11 , 4 )201
( 11 , 5 )123
( 11 , 6 )43
( 11 , 7 )41
( 11 , 8 )47
( 11 , 9 )30
( 11 , 10 )29
( 11 , 11 )0
( 11 , 12 )45
( 11 , 13 )75
( 11 , 14 )64
( 11 , 15 )194
( 11 , 16 )193
( 11 , 17 )129
( 11 , 18 )157
( 11 , 19 )129
( 11 , 20 )116
( 11 , 21 )203
( 11 , 22 )200
( 11 , 23 )128
( 11 , 24 )134
( 11 , 25 )136
( 11 , 26 )61
( 11 , 27 )137
( 11 , 28 )205
( 11 , 29 )199
( 11 , 30 )283
( 11 , 31 )206
( 11 , 32 )212
( 11 , 33 )223
( 11 , 34 )148
( 11 , 35 )203
( 11 , 36 )200
( 11 , 37 )128
( 11 , 38 )134
( 11 , 39 )136
( 11 , 40 )61
( 11 , 41 )137
( 11 , 42 )205
( 11 , 43 )199
( 11 , 44 )283
( 11 , 45 )206
( 11 , 46 )212
( 11 , 47 )223
( 12 , 0 )264
( 12 , 1 )308
( 12 , 2 )273
( 12 , 3 )226
( 12 , 4 )226
( 12 , 5 )146
( 12 , 6 )56
( 12 , 7 )60
( 12 , 8 )46
( 12 , 9 )61
( 12 , 10 )54
( 12 , 11 )45
( 12 , 12 )0
( 12 , 13 )34
( 12 , 14 )37
( 12 , 15 )187
( 12 , 16 )186
( 12 , 17 )128
( 12 , 18 )128
( 12 , 19 )122
( 12 , 20 )127
( 12 , 21 )214
( 12 , 22 )193
( 12 , 23 )117
( 12 , 24 )125
( 12 , 25 )121
( 12 , 26 )56
( 12 , 27 )134
( 12 , 28 )210
( 12 , 29 )212
( 12 , 30 )296
( 12 , 31 )213
( 12 , 32 )197
( 12 , 33 )192
( 12 , 34 )125
( 12 , 35 )214
( 12 , 36 )193
( 12 , 37 )117
( 12 , 38 )125
( 12 , 39 )121
( 12 , 40 )56
( 12 , 41 )134
( 12 , 42 )210
( 12 , 43 )212
( 12 , 44 )296
( 12 , 45 )213
( 12 , 46 )197
( 12 , 47 )192
( 13 , 0 )282
( 13 , 1 )312
( 13 , 2 )289
( 13 , 3 )242
( 13 , 4 )242
( 13 , 5 )166
( 13 , 6 )72
( 13 , 7 )72
( 13 , 8 )56
( 13 , 9 )69
( 13 , 10 )66
( 13 , 11 )75
( 13 , 12 )34
( 13 , 13 )0
( 13 , 14 )21
( 13 , 15 )173
( 13 , 16 )186
( 13 , 17 )130
( 13 , 18 )100
( 13 , 19 )114
( 13 , 20 )135
( 13 , 21 )222
( 13 , 22 )201
( 13 , 23 )115
( 13 , 24 )121
( 13 , 25 )117
( 13 , 26 )52
( 13 , 27 )130
( 13 , 28 )206
( 13 , 29 )216
( 13 , 30 )292
( 13 , 31 )217
( 13 , 32 )199
( 13 , 33 )196
( 13 , 34 )129
( 13 , 35 )222
( 13 , 36 )201
( 13 , 37 )115
( 13 , 38 )121
( 13 , 39 )117
( 13 , 40 )52
( 13 , 41 )130
( 13 , 42 )206
( 13 , 43 )216
( 13 , 44 )292
( 13 , 45 )217
( 13 , 46 )199
( 13 , 47 )196
( 14 , 0 )261
( 14 , 1 )301
( 14 , 2 )282
( 14 , 3 )229
( 14 , 4 )223
( 14 , 5 )145
( 14 , 6 )51
( 14 , 7 )51
( 14 , 8 )41
( 14 , 9 )54
( 14 , 10 )45
( 14 , 11 )64
( 14 , 12 )37
( 14 , 13 )21
( 14 , 14 )0
( 14 , 15 )166
( 14 , 16 )181
( 14 , 17 )115
( 14 , 18 )111
( 14 , 19 )123
( 14 , 20 )114
( 14 , 21 )201
( 14 , 22 )180
( 14 , 23 )96
( 14 , 24 )102
( 14 , 25 )98
( 14 , 26 )43
( 14 , 27 )119
( 14 , 28 )197
( 14 , 29 )205
( 14 , 30 )291
( 14 , 31 )202
( 14 , 32 )182
( 14 , 33 )181
( 14 , 34 )114
( 14 , 35 )201
( 14 , 36 )180
( 14 , 37 )96
( 14 , 38 )102
( 14 , 39 )98
( 14 , 40 )43
( 14 , 41 )119
( 14 , 42 )197
( 14 , 43 )205
( 14 , 44 )291
( 14 , 45 )202
( 14 , 46 )182
( 14 , 47 )181
( 15 , 0 )273
( 15 , 1 )457
( 15 , 2 )422
( 15 , 3 )369
( 15 , 4 )371
( 15 , 5 )293
( 15 , 6 )203
( 15 , 7 )205
( 15 , 8 )185
( 15 , 9 )184
( 15 , 10 )185
( 15 , 11 )194
( 15 , 12 )187
( 15 , 13 )173
( 15 , 14 )166
( 15 , 15 )0
( 15 , 16 )23
( 15 , 17 )105
( 15 , 18 )113
( 15 , 19 )109
( 15 , 20 )114
( 15 , 21 )207
( 15 , 22 )192
( 15 , 23 )106
( 15 , 24 )112
( 15 , 25 )104
( 15 , 26 )175
( 15 , 27 )253
( 15 , 28 )187
( 15 , 29 )199
( 15 , 30 )283
( 15 , 31 )200
( 15 , 32 )188
( 15 , 33 )195
( 15 , 34 )266
( 15 , 35 )207
( 15 , 36 )192
( 15 , 37 )106
( 15 , 38 )112
( 15 , 39 )104
( 15 , 40 )175
( 15 , 41 )253
( 15 , 42 )187
( 15 , 43 )199
( 15 , 44 )283
( 15 , 45 )200
( 15 , 46 )188
( 15 , 47 )195
( 16 , 0 )268
( 16 , 1 )472
( 16 , 2 )429
( 16 , 3 )364
( 16 , 4 )364
( 16 , 5 )284
( 16 , 6 )208
( 16 , 7 )208
( 16 , 8 )192
( 16 , 9 )181
( 16 , 10 )190
( 16 , 11 )193
( 16 , 12 )186
( 16 , 13 )186
( 16 , 14 )181
( 16 , 15 )23
( 16 , 16 )0
( 16 , 17 )112
( 16 , 18 )128
( 16 , 19 )106
( 16 , 20 )109
( 16 , 21 )208
( 16 , 22 )195
( 16 , 23 )109
( 16 , 24 )109
( 16 , 25 )105
( 16 , 26 )182
( 16 , 27 )264
( 16 , 28 )196
( 16 , 29 )204
( 16 , 30 )288
( 16 , 31 )205
( 16 , 32 )201
( 16 , 33 )200
( 16 , 34 )281
( 16 , 35 )208
( 16 , 36 )195
( 16 , 37 )109
( 16 , 38 )109
( 16 , 39 )105
( 16 , 40 )182
( 16 , 41 )264
( 16 , 42 )196
( 16 , 43 )204
( 16 , 44 )288
( 16 , 45 )205
( 16 , 46 )201
( 16 , 47 )200
( 17 , 0 )202
( 17 , 1 )378
( 17 , 2 )335
( 17 , 3 )278
( 17 , 4 )278
( 17 , 5 )206
( 17 , 6 )132
( 17 , 7 )132
( 17 , 8 )124
( 17 , 9 )131
( 17 , 10 )118
( 17 , 11 )129
( 17 , 12 )128
( 17 , 13 )130
( 17 , 14 )115
( 17 , 15 )105
( 17 , 16 )112
( 17 , 17 )0
( 17 , 18 )40
( 17 , 19 )38
( 17 , 20 )35
( 17 , 21 )126
( 17 , 22 )121
( 17 , 23 )45
( 17 , 24 )47
( 17 , 25 )49
( 17 , 26 )124
( 17 , 27 )200
( 17 , 28 )138
( 17 , 29 )142
( 17 , 30 )216
( 17 , 31 )133
( 17 , 32 )123
( 17 , 33 )126
( 17 , 34 )195
( 17 , 35 )126
( 17 , 36 )121
( 17 , 37 )45
( 17 , 38 )47
( 17 , 39 )49
( 17 , 40 )124
( 17 , 41 )200
( 17 , 42 )138
( 17 , 43 )142
( 17 , 44 )216
( 17 , 45 )133
( 17 , 46 )123
( 17 , 47 )126
( 18 , 0 )220
( 18 , 1 )382
( 18 , 2 )353
( 18 , 3 )308
( 18 , 4 )310
( 18 , 5 )236
( 18 , 6 )150
( 18 , 7 )150
( 18 , 8 )130
( 18 , 9 )153
( 18 , 10 )148
( 18 , 11 )157
( 18 , 12 )128
( 18 , 13 )100
( 18 , 14 )111
( 18 , 15 )113
( 18 , 16 )128
( 18 , 17 )40
( 18 , 18 )0
( 18 , 19 )32
( 18 , 20 )63
( 18 , 21 )144
( 18 , 22 )135
( 18 , 23 )47
( 18 , 24 )49
( 18 , 25 )51
( 18 , 26 )118
( 18 , 27 )196
( 18 , 28 )134
( 18 , 29 )146
( 18 , 30 )216
( 18 , 31 )139
( 18 , 32 )133
( 18 , 33 )134
( 18 , 34 )201
( 18 , 35 )144
( 18 , 36 )135
( 18 , 37 )47
( 18 , 38 )49
( 18 , 39 )51
( 18 , 40 )118
( 18 , 41 )196
( 18 , 42 )134
( 18 , 43 )146
( 18 , 44 )216
( 18 , 45 )139
( 18 , 46 )133
( 18 , 47 )134
( 19 , 0 )204
( 19 , 1 )384
( 19 , 2 )343
( 19 , 3 )282
( 19 , 4 )284
( 19 , 5 )216
( 19 , 6 )144
( 19 , 7 )144
( 19 , 8 )132
( 19 , 9 )127
( 19 , 10 )122
( 19 , 11 )129
( 19 , 12 )122
( 19 , 13 )114
( 19 , 14 )123
( 19 , 15 )109
( 19 , 16 )106
( 19 , 17 )38
( 19 , 18 )32
( 19 , 19 )0
( 19 , 20 )31
( 19 , 21 )136
( 19 , 22 )121
( 19 , 23 )49
( 19 , 24 )55
( 19 , 25 )53
( 19 , 26 )126
( 19 , 27 )204
( 19 , 28 )138
( 19 , 29 )146
( 19 , 30 )222
( 19 , 31 )145
( 19 , 32 )131
( 19 , 33 )134
( 19 , 34 )197
( 19 , 35 )136
( 19 , 36 )121
( 19 , 37 )49
( 19 , 38 )55
( 19 , 39 )53
( 19 , 40 )126
( 19 , 41 )204
( 19 , 42 )138
( 19 , 43 )146
( 19 , 44 )222
( 19 , 45 )145
( 19 , 46 )131
( 19 , 47 )134
( 20 , 0 )175
( 20 , 1 )377
( 20 , 2 )340
( 20 , 3 )271
( 20 , 4 )267
( 20 , 5 )201
( 20 , 6 )119
( 20 , 7 )115
( 20 , 8 )121
( 20 , 9 )118
( 20 , 10 )103
( 20 , 11 )116
( 20 , 12 )127
( 20 , 13 )135
( 20 , 14 )114
( 20 , 15 )114
( 20 , 16 )109
( 20 , 17 )35
( 20 , 18 )63
( 20 , 19 )31
( 20 , 20 )0
( 20 , 21 )107
( 20 , 22 )104
( 20 , 23 )36
( 20 , 24 )40
( 20 , 25 )40
( 20 , 26 )125
( 20 , 27 )199
( 20 , 28 )135
( 20 , 29 )139
( 20 , 30 )223
( 20 , 31 )140
( 20 , 32 )120
( 20 , 33 )121
( 20 , 34 )182
( 20 , 35 )107
( 20 , 36 )104
( 20 , 37 )36
( 20 , 38 )40
( 20 , 39 )40
( 20 , 40 )125
( 20 , 41 )199
( 20 , 42 )135
( 20 , 43 )139
( 20 , 44 )223
( 20 , 45 )140
( 20 , 46 )120
( 20 , 47 )121
( 21 , 0 )100
( 21 , 1 )318
( 21 , 2 )257
( 21 , 3 )202
( 21 , 4 )198
( 21 , 5 )280
( 21 , 6 )184
( 21 , 7 )182
( 21 , 8 )200
( 21 , 9 )205
( 21 , 10 )196
( 21 , 11 )203
( 21 , 12 )214
( 21 , 13 )222
( 21 , 14 )201
( 21 , 15 )207
( 21 , 16 )208
( 21 , 17 )126
( 21 , 18 )144
( 21 , 19 )136
( 21 , 20 )107
( 21 , 21 )0
( 21 , 22 )21
( 21 , 23 )117
( 21 , 24 )123
( 21 , 25 )117
( 21 , 26 )202
( 21 , 27 )274
( 21 , 28 )208
( 21 , 29 )196
( 21 , 30 )286
( 21 , 31 )199
( 21 , 32 )203
( 21 , 33 )206
( 21 , 34 )269
( 21 , 35 )0
( 21 , 36 )21
( 21 , 37 )117
( 21 , 38 )123
( 21 , 39 )117
( 21 , 40 )202
( 21 , 41 )274
( 21 , 42 )208
( 21 , 43 )196
( 21 , 44 )286
( 21 , 45 )199
( 21 , 46 )203
( 21 , 47 )206
( 22 , 0 )99
( 22 , 1 )305
( 22 , 2 )266
( 22 , 3 )207
( 22 , 4 )203
( 22 , 5 )283
( 22 , 6 )183
( 22 , 7 )183
( 22 , 8 )193
( 22 , 9 )198
( 22 , 10 )177
( 22 , 11 )200
( 22 , 12 )193
( 22 , 13 )201
( 22 , 14 )180
( 22 , 15 )192
( 22 , 16 )195
( 22 , 17 )121
( 22 , 18 )135
( 22 , 19 )121
( 22 , 20 )104
( 22 , 21 )21
( 22 , 22 )0
( 22 , 23 )104
( 22 , 24 )110
( 22 , 25 )106
( 22 , 26 )201
( 22 , 27 )277
( 22 , 28 )213
( 22 , 29 )199
( 22 , 30 )281
( 22 , 31 )194
( 22 , 32 )188
( 22 , 33 )193
( 22 , 34 )258
( 22 , 35 )21
( 22 , 36 )0
( 22 , 37 )104
( 22 , 38 )110
( 22 , 39 )106
( 22 , 40 )201
( 22 , 41 )277
( 22 , 42 )213
( 22 , 43 )199
( 22 , 44 )281
( 22 , 45 )194
( 22 , 46 )188
( 22 , 47 )193
( 23 , 0 )177
( 23 , 1 )381
( 23 , 2 )354
( 23 , 3 )287
( 23 , 4 )283
( 23 , 5 )215
( 23 , 6 )121
( 23 , 7 )115
( 23 , 8 )103
( 23 , 9 )118
( 23 , 10 )121
( 23 , 11 )128
( 23 , 12 )117
( 23 , 13 )115
( 23 , 14 )96
( 23 , 15 )106
( 23 , 16 )109
( 23 , 17 )45
( 23 , 18 )47
( 23 , 19 )49
( 23 , 20 )36
( 23 , 21 )117
( 23 , 22 )104
( 23 , 23 )0
( 23 , 24 )10
( 23 , 25 )14
( 23 , 26 )107
( 23 , 27 )187
( 23 , 28 )113
( 23 , 29 )119
( 23 , 30 )213
( 23 , 31 )120
( 23 , 32 )108
( 23 , 33 )111
( 23 , 34 )186
( 23 , 35 )117
( 23 , 36 )104
( 23 , 37 )0
( 23 , 38 )10
( 23 , 39 )14
( 23 , 40 )107
( 23 , 41 )187
( 23 , 42 )113
( 23 , 43 )119
( 23 , 44 )213
( 23 , 45 )120
( 23 , 46 )108
( 23 , 47 )111
( 24 , 0 )181
( 24 , 1 )391
( 24 , 2 )362
( 24 , 3 )295
( 24 , 4 )291
( 24 , 5 )221
( 24 , 6 )127
( 24 , 7 )121
( 24 , 8 )111
( 24 , 9 )124
( 24 , 10 )125
( 24 , 11 )134
( 24 , 12 )125
( 24 , 13 )121
( 24 , 14 )102
( 24 , 15 )112
( 24 , 16 )109
( 24 , 17 )47
( 24 , 18 )49
( 24 , 19 )55
( 24 , 20 )40
( 24 , 21 )123
( 24 , 22 )110
( 24 , 23 )10
( 24 , 24 )0
( 24 , 25 )12
( 24 , 26 )111
( 24 , 27 )193
( 24 , 28 )119
( 24 , 29 )125
( 24 , 30 )213
( 24 , 31 )124
( 24 , 32 )116
( 24 , 33 )117
( 24 , 34 )194
( 24 , 35 )123
( 24 , 36 )110
( 24 , 37 )10
( 24 , 38 )0
( 24 , 39 )12
( 24 , 40 )111
( 24 , 41 )193
( 24 , 42 )119
( 24 , 43 )125
( 24 , 44 )213
( 24 , 45 )124
( 24 , 46 )116
( 24 , 47 )117
( 25 , 0 )183
( 25 , 1 )387
( 25 , 2 )354
( 25 , 3 )301
( 25 , 4 )297
( 25 , 5 )217
( 25 , 6 )119
( 25 , 7 )119
( 25 , 8 )111
( 25 , 9 )122
( 25 , 10 )121
( 25 , 11 )136
( 25 , 12 )121
( 25 , 13 )117
( 25 , 14 )98
( 25 , 15 )104
( 25 , 16 )105
( 25 , 17 )49
( 25 , 18 )51
( 25 , 19 )53
( 25 , 20 )40
( 25 , 21 )117
( 25 , 22 )106
( 25 , 23 )14
( 25 , 24 )12
( 25 , 25 )0
( 25 , 26 )101
( 25 , 27 )183
( 25 , 28 )115
( 25 , 29 )121
( 25 , 30 )211
( 25 , 31 )118
( 25 , 32 )110
( 25 , 33 )113
( 25 , 34 )188
( 25 , 35 )117
( 25 , 36 )106
( 25 , 37 )14
( 25 , 38 )12
( 25 , 39 )0
( 25 , 40 )101
( 25 , 41 )183
( 25 , 42 )115
( 25 , 43 )121
( 25 , 44 )211
( 25 , 45 )118
( 25 , 46 )110
( 25 , 47 )113
( 26 , 0 )272
( 26 , 1 )330
( 26 , 2 )281
( 26 , 3 )238
( 26 , 4 )240
( 26 , 5 )154
( 26 , 6 )58
( 26 , 7 )58
( 26 , 8 )38
( 26 , 9 )49
( 26 , 10 )58
( 26 , 11 )61
( 26 , 12 )56
( 26 , 13 )52
( 26 , 14 )43
( 26 , 15 )175
( 26 , 16 )182
( 26 , 17 )124
( 26 , 18 )118
( 26 , 19 )126
( 26 , 20 )125
