计算点与点的相似度
( 0 , 0 )0
( 0 , 1 )368
( 0 , 2 )327
( 0 , 3 )266
( 0 , 4 )262
( 0 , 5 )354
( 0 , 6 )246
( 0 , 7 )246
( 0 , 8 )254
( 0 , 9 )269
( 0 , 10 )264
( 0 , 11 )269
( 0 , 12 )264
( 0 , 13 )282
( 0 , 14 )261
( 0 , 15 )273
( 0 , 16 )268
( 0 , 17 )202
( 0 , 18 )220
( 0 , 19 )204
( 0 , 20 )175
( 0 , 21 )100
( 0 , 22 )99
( 0 , 23 )177
( 0 , 24 )181
( 0 , 25 )183
( 0 , 26 )272
( 0 , 27 )346
( 0 , 28 )272
( 0 , 29 )270
( 0 , 30 )372
( 0 , 31 )283
( 0 , 32 )267
( 0 , 33 )274
( 0 , 34 )337
( 0 , 35 )100
( 0 , 36 )99
( 0 , 37 )177
( 0 , 38 )181
( 0 , 39 )183
( 0 , 40 )272
( 0 , 41 )346
( 0 , 42 )272
( 0 , 43 )270
( 0 , 44 )372
( 0 , 45 )283
( 0 , 46 )267
( 0 , 47 )274
( 1 , 0 )368
( 1 , 1 )0
( 1 , 2 )85
( 1 , 3 )178
( 1 , 4 )174
( 1 , 5 )260
( 1 , 6 )322
( 1 , 7 )326
( 1 , 8 )326
( 1 , 9 )339
( 1 , 10 )322
( 1 , 11 )333
( 1 , 12 )308
( 1 , 13 )312
( 1 , 14 )301
( 1 , 15 )457
( 1 , 16 )472
( 1 , 17 )378
( 1 , 18 )382
( 1 , 19 )384
( 1 , 20 )377
( 1 , 21 )318
( 1 , 22 )305
( 1 , 23 )381
( 1 , 24 )391
( 1 , 25 )387
( 1 , 26 )330
( 1 , 27 )404
( 1 , 28 )478
( 1 , 29 )488
( 1 , 30 )576
( 1 , 31 )487
( 1 , 32 )451
( 1 , 33 )454
( 1 , 34 )369
( 1 , 35 )318
( 1 , 36 )305
( 1 , 37 )381
( 1 , 38 )391
( 1 , 39 )387
( 1 , 40 )330
( 1 , 41 )404
( 1 , 42 )478
( 1 , 43 )488
( 1 , 44 )576
( 1 , 45 )487
( 1 , 46 )451
( 1 , 47 )454
( 2 , 0 )327
( 2 , 1 )85
( 2 , 2 )0
( 2 , 3 )113
( 2 , 4 )121
( 2 , 5 )205
( 2 , 6 )271
( 2 , 7 )277
( 2 , 8 )285
( 2 , 9 )290
( 2 , 10 )283
( 2 , 11 )282
( 2 , 12 )273
( 2 , 13 )289
( 2 , 14 )282
( 2 , 15 )422
( 2 , 16 )429
( 2 , 17 )335
( 2 , 18 )353
( 2 , 19 )343
( 2 , 20 )340
( 2 , 21 )257
( 2 , 22 )266
( 2 , 23 )354
( 2 , 24 )362
( 2 , 25 )354
( 2 , 26 )281
( 2 , 27 )355
( 2 , 28 )429
( 2 , 29 )429
( 2 , 30 )523
( 2 , 31 )438
( 2 , 32 )418
( 2 , 33 )429
( 2 , 34 )344
( 2 , 35 )257
( 2 , 36 )266
( 2 , 37 )354
( 2 , 38 )362
( 2 , 39 )354
( 2 , 40 )281
( 2 , 41 )355
( 2 , 42 )429
( 2 , 43 )429
( 2 , 44 )523
( 2 , 45 )438
( 2 , 46 )418
( 2 , 47 )429
( 3 , 0 )266
( 3 , 1 )178
( 3 , 2 )113
( 3 , 3 )0
( 3 , 4 )8
( 3 , 5 )110
( 3 , 6 )216
( 3 , 7 )214
( 3 , 8 )226
( 3 , 9 )213
( 3 , 10 )212
( 3 , 11 )199
( 3 , 12 )226
( 3 , 13 )242
( 3 , 14 )229
( 3 , 15 )369
( 3 , 16 )364
( 3 , 17 )278
( 3 , 18 )308
( 3 , 19 )282
( 3 , 20 )271
( 3 , 21 )202
( 3 , 22 )207
( 3 , 23 )287
( 3 , 24 )295
( 3 , 25 )301
( 3 , 26 )238
( 3 , 27 )312
( 3 , 28 )380
( 3 , 29 )374
( 3 , 30 )460
( 3 , 31 )375
( 3 , 32 )371
( 3 , 33 )378
( 3 , 34 )297
( 3 , 35 )202
( 3 , 36 )207
( 3 , 37 )287
( 3 , 38 )295
( 3 , 39 )301
( 3 , 40 )238
( 3 , 41 )312
( 3 , 42 )380
( 3 , 43 )374
( 3 , 44 )460
( 3 , 45 )375
( 3 , 46 )371
( 3 , 47 )378
( 4 , 0 )262
( 4 , 1 )174
( 4 , 2 )121
( 4 , 3 )8
( 4 , 4 )0
( 4 , 5 )102
( 4 , 6 )212
( 4 , 7 )210
( 4 , 8 )226
( 4 , 9 )213
( 4 , 10 )208
( 4 , 11 )201
( 4 , 12 )226
( 4 , 13 )242
( 4 , 14 )223
( 4 , 15 )371
( 4 , 16 )364
( 4 , 17 )278
( 4 , 18 )310
( 4 , 19 )284
( 4 , 20 )267
( 4 , 21 )198
( 4 , 22 )203
( 4 , 23 )283
( 4 , 24 )291
( 4 , 25 )297
( 4 , 26 )240
( 4 , 27 )314
( 4 , 28 )382
( 4 , 29 )376
( 4 , 30 )462
( 4 , 31 )375
( 4 , 32 )369
( 4 , 33 )372
( 4 , 34 )293
( 4 , 35 )198
( 4 , 36 )203
( 4 , 37 )283
( 4 , 38 )291
( 4 , 39 )297
( 4 , 40 )240
( 4 , 41 )314
( 4 , 42 )382
( 4 , 43 )376
( 4 , 44 )462
( 4 , 45 )375
( 4 , 46 )369
( 4 , 47 )372
( 5 , 0 )354
( 5 , 1 )260
( 5 , 2 )205
( 5 , 3 )110
( 5 , 4 )102
( 5 , 5 )0
( 5 , 6 )124
( 5 , 7 )126
( 5 , 8 )146
( 5 , 9 )133
( 5 , 10 )120
( 5 , 11 )123
( 5 , 12 )146
( 5 , 13 )166
( 5 , 14 )145
( 5 , 15 )293
( 5 , 16 )284
( 5 , 17 )206
( 5 , 18 )236
( 5 , 19 )216
( 5 , 20 )201
( 5 , 21 )280
( 5 , 22 )283
( 5 , 23 )215
( 5 , 24 )221
( 5 , 25 )217
( 5 , 26 )154
( 5 , 27 )228
( 5 , 28 )302
( 5 , 29 )296
( 5 , 30 )376
( 5 , 31 )289
( 5 , 32 )289
( 5 , 33 )288
( 5 , 34 )219
( 5 , 35 )280
( 5 , 36 )283
( 5 , 37 )215
( 5 , 38 )221
( 5 , 39 )217
( 5 , 40 )154
( 5 , 41 )228
( 5 , 42 )302
( 5 , 43 )296
( 5 , 44 )376
( 5 , 45 )289
( 5 , 46 )289
( 5 , 47 )288
( 6 , 0 )246
( 6 , 1 )322
( 6 , 2 )271
( 6 , 3 )216
( 6 , 4 )212
( 6 , 5 )124
( 6 , 6 )0
( 6 , 7 )6
( 6 , 8 )32
( 6 , 9 )47
( 6 , 10 )30
( 6 , 11 )43
( 6 , 12 )56
( 6 , 13 )72
( 6 , 14 )51
( 6 , 15 )203
( 6 , 16 )208
( 6 , 17 )132
( 6 , 18 )150
( 6 , 19 )144
( 6 , 20 )119
( 6 , 21 )184
( 6 , 22 )183
( 6 , 23 )121
( 6 , 24 )127
( 6 , 25 )119
( 6 , 26 )58
( 6 , 27 )132
( 6 , 28 )204
( 6 , 29 )196
( 6 , 30 )280
( 6 , 31 )193
( 6 , 32 )199
